Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Dcaf13	unassigned	""	3	POLQ-deletion	0.69824374	15890	3594	0.058350225	1.968231365	2.104515326	1.973272157	0.057883088	1950	14726
Crat	unassigned	""	5	POLQ-deletion	0.497814916	68182	16017	0.047691606	1.968098924	2.019415203	1.968905201	0.057883088	2795	14727
Itga7	unassigned	""	5	POLQ-deletion	0.54100393	91302	20775	-0.017963915	1.967709418	2.023631564	1.96860613	0.057883088	11433	14728
Rapgef3	unassigned	""	4	POLQ-deletion	0.519530809	101854	23357	-0.005247778	1.967579351	2.020695051	1.968367637	0.057883088	9622	14729
Suds3	unassigned	""	5	POLQ-deletion	0.698150147	22568	4705	-0.122280713	1.967479254	2.089759967	1.971392832	0.057883088	16995	14730
Smad5	unassigned	""	5	POLQ-deletion	0.49042321	80672	18407	-0.014566193	1.967226674	2.02942119	1.968330438	0.057883088	10940	14731
Bnc1	unassigned	""	5	POLQ-deletion	0.506537368	91665	21165	0.011554026	1.966519982	2.01657274	1.967322588	0.057883088	7236	14732
Ptges3	unassigned	""	3	POLQ-deletion	0.552518208	30247	7467	0.086143665	1.966290961	2.052434626	1.968706778	0.057883088	665	14733
Tas2r138	unassigned	""	5	POLQ-deletion	0.506375018	101049	23425	0.024049626	1.965867575	2.011261711	1.966591661	0.057883088	5503	14734
Celf6	unassigned	""	5	POLQ-deletion	0.490200436	97259	22479	0.023291022	1.965784605	2.000819071	1.966215851	0.057883088	5603	14735
Rasip1	unassigned	""	5	POLQ-deletion	0.52925477	92492	20762	-0.036192471	1.965460999	2.025418361	1.966455157	0.057883088	13518	14736
Ppp1r17	unassigned	""	3	POLQ-deletion	0.531002781	29710	6673	-0.086763381	1.965239452	2.069745775	1.968344498	0.057883088	16335	14737
Mgst1	unassigned	""	5	POLQ-deletion	0.497007473	100751	23462	0.024035152	1.965194837	2.006591127	1.965868821	0.057883088	5504	14738
Cyp2w1	unassigned	""	5	POLQ-deletion	0.552233782	104351	23628	-0.013308654	1.964830401	2.020387266	1.965661505	0.057883088	10771	14739
Spg7	unassigned	""	5	POLQ-deletion	0.52743418	125137	27803	-0.044251006	1.964680949	2.00971149	1.965243429	0.057883088	14198	14740
Stab2	unassigned	""	5	POLQ-deletion	0.484064352	87189	20406	0.024448062	1.964529988	2.011614029	1.965290763	0.057883088	5444	14741
Echs1	unassigned	""	5	POLQ-deletion	0.516796336	89767	20656	0.007958	1.964356436	2.011535741	1.965127718	0.057883088	7763	14742
Bdkrb1	unassigned	""	5	POLQ-deletion	0.510735686	104150	24196	0.005880391	1.964261222	2.017762977	1.965060147	0.057883088	8073	14743
Adh6a	unassigned	""	5	POLQ-deletion	0.492465187	107941	25586	0.033754145	1.963898689	1.997652834	1.964300715	0.057883088	4265	14744
Fbxw2	unassigned	""	5	POLQ-deletion	0.505362787	120239	27090	-0.028812899	1.963819803	2.012912784	1.964539926	0.057883088	12741	14745
Esp8	unassigned	""	5	POLQ-deletion	0.469605652	73894	16369	-0.007868829	1.963454381	2.022300216	1.964435211	0.057883088	9991	14746
Extl3	unassigned	""	5	POLQ-deletion	0.532464526	71531	15784	-0.056712729	1.963405647	2.030733125	1.964645258	0.057883088	15045	14747
Wdr46	unassigned	""	5	POLQ-deletion	0.718814038	27580	6076	0.007344329	1.963223303	2.062242922	1.965983002	0.057883088	7861	14748
C1s2	unassigned	""	5	POLQ-deletion	0.519350505	80234	17982	-0.021541245	1.962727272	2.008644023	1.963468339	0.057883088	11900	14749
Usp4	unassigned	""	4	POLQ-deletion	0.495531689	62694	14053	-0.01473159	1.962343722	2.009299045	1.963078318	0.057883088	10963	14750
Dyrk3	unassigned	""	5	POLQ-deletion	0.516940062	83509	19017	-0.007301223	1.962293901	2.026077883	1.963386747	0.057883088	9900	14751
Cdh3	unassigned	""	5	POLQ-deletion	0.546171022	59450	13649	0.02903256	1.961778788	2.024193496	1.963024668	0.057883088	4862	14752
Nppc	unassigned	""	5	POLQ-deletion	0.529912516	93984	21377	-0.009477253	1.9616508	2.000351599	1.962171006	0.057883088	10234	14753
Lypd5	unassigned	""	4	POLQ-deletion	0.550013835	69957	15952	0.031804421	1.96160722	2.021044097	1.962607611	0.057883088	4497	14754
Atad5	FORK QC	""	5	POLQ-deletion	0.534120482	42940	9771	0.017769331	1.961017673	2.023236859	1.962410381	0.057883088	6371	14755
Gpr26	unassigned	""	5	POLQ-deletion	0.49857283	144024	33230	0.0198774	1.960675473	2.006733499	1.961265149	0.057883088	6069	14756
Slc35f4	unassigned	""	5	POLQ-deletion	0.496196766	92118	20863	-0.004245319	1.960568402	2.010945163	1.961395452	0.057883088	9507	14757
Incenp	unassigned	""	4	POLQ-deletion	0.676195497	29162	6513	0.003365311	1.959885801	2.063258185	1.962823918	0.057883088	8446	14758
Sema3f	unassigned	""	5	POLQ-deletion	0.496218847	101029	23584	0.032258633	1.959241535	2.014182637	1.960068264	0.057883088	4440	14759
Pbx1	unassigned	""	5	POLQ-deletion	0.500990266	94588	21920	0.03133404	1.95913608	2.004961408	1.959814905	0.057883088	4551	14760
Ift27	unassigned	""	5	POLQ-deletion	0.502463659	50989	11397	-0.008723764	1.958698846	2.040063029	1.960422355	0.057883088	10118	14761
B4galnt3	unassigned	""	5	POLQ-deletion	0.522527639	95487	21908	-0.00644403	1.958559591	2.012190449	1.959432963	0.057883088	9786	14762
Amt	unassigned	""	5	POLQ-deletion	0.504852075	68450	15640	0.004482884	1.958501384	1.994431589	1.959158767	0.057883088	8293	14763
Sspn	unassigned	""	5	POLQ-deletion	0.495112363	74926	17153	-0.010681402	1.957456546	2.025603521	1.95871451	0.057883088	10418	14764
Nfasc	unassigned	""	5	POLQ-deletion	0.500901901	85240	19050	-0.047767772	1.956992767	2.015579896	1.957969582	0.057883088	14470	14765
Prss34	unassigned	""	5	POLQ-deletion	0.553316969	83721	19109	-0.009355239	1.95697729	2.009566359	1.957866315	0.057883088	10215	14766
Camk1d	unassigned	""	5	POLQ-deletion	0.511519259	57002	12507	-0.047621694	1.95681323	2.011516293	1.957814306	0.057883088	14457	14767
